fecha,lluvia_mm,lluvia_24h_mm,lluvia_48h_mm,lluvia_72h_mm,humedad_superficial,humedad_antecedente_3obs,nivel_alerta
2020-01-03,5.983122452445653,5.983122452445653,7.885036193704566,7.885036193704566,0.4110182780643989,0.5679103031583216,Verde
2020-01-04,0.0,0.0,5.983122452445653,7.885036193704566,0.5596967680358338,0.4894642906113602,Verde
2020-01-06,0.0,0.0,9.225209219071568,9.225209219071568,0.4111151916199717,0.5128751164195181,Verde
2020-01-09,2.6371184720610925,2.6371184720610925,6.312113526938619,6.312113526938619,0.5609714950638255,0.4606100792400681,Verde
2020-01-11,0.0,0.0,1.6808762538158681,4.317994725876961,0.5105815022841267,0.5105944849065436,Verde
2020-01-12,1.777454735576243,1.777454735576243,1.777454735576243,3.458330989392111,0.5209932108035032,0.49422272965597464,Verde
2020-01-14,2.7039073283918276,2.7039073283918276,4.792636527429762,6.570091263006005,0.5100168619176436,0.5308487360504851,Verde
2020-01-17,3.095337188050774,3.095337188050774,3.095337188050774,3.095337188050774,0.5679103031583216,0.5138638583350912,Verde
2020-01-19,2.086222890901037,2.086222890901037,6.2738004434037595,9.369137631454533,0.5679103031583216,0.5329734586264895,Verde
2020-01-22,76.84772858534323,76.84772858534323,163.6302944266278,165.00590566641637,0.4655128365446781,0.5486124894114289,Verde
2020-01-25,0.0,0.0,13.065238321731972,29.909559349066566,0.5651540650033402,0.5337778142871071,Verde
2020-01-27,4.41010137917339,4.41010137917339,4.41010137917339,4.41010137917339,0.5213346278413813,0.5328590682354467,Verde
2020-01-28,23.355057039122652,23.355057039122652,27.765158418296043,27.765158418296043,0.5049457480681353,0.5173338431297999,Verde
2020-01-30,0.0,0.0,170.543464676905,193.89852171602763,0.5247214710575411,0.5304781469709522,Verde
2020-02-02,22.1892471329737,22.1892471329737,22.1892471329737,22.1892471329737,0.5679103031583216,0.5170006156556859,Verde
2020-02-04,0.0,0.0,0.0,22.1892471329737,0.5679103031583216,0.5325258407613326,Verde
2020-02-05,0.0,0.0,0.0,0.0,0.5682567625210203,0.5535140257913946,Verde
2020-02-07,0.0,0.0,0.0,0.0,0.5218195648028933,0.5680257896125545,Verde
2020-02-10,6.723825214464038,6.723825214464038,18.898252010345463,19.123649327651318,0.5679103031583216,0.552662210160745,Verde
2020-02-12,9.361990702629903,9.361990702629903,17.59384644143315,24.31767165589719,0.3823264650572305,0.552662210160745,Verde
2020-02-13,0.0,0.0,9.361990702629903,17.59384644143315,0.5682567625210203,0.4906854443394817,Verde
2020-02-15,0.9979197554169612,0.9979197554169612,0.9979197554169612,0.9979197554169612,0.5509248730841647,0.5061645102455241,Verde
2020-02-18,0.0,0.0,7.565422775597015,15.540309401119458,0.5679103031583216,0.5005027002208052,Verde
2020-02-20,6.973863103708852,6.973863103708852,6.973863103708852,6.973863103708852,0.5157439023926017,0.5623639795878356,Verde
2020-02-21,14.824552994554917,14.824552994554917,21.79841609826377,21.79841609826377,0.5684171525770397,0.5448596928783626,Verde
2020-02-23,0.0,0.0,10.558768330124435,25.38332132467935,0.5643289102905098,0.5506904527093209,Verde
2020-02-26,0.0,0.0,1.582013062707197,1.582013062707197,0.5340545146629727,0.549496655086717,Verde
2020-02-28,0.0,0.0,0.0,0.0,0.4094441253906008,0.555600192510174,Verde
2020-02-29,9.28090644878703,9.28090644878703,9.28090644878703,9.28090644878703,0.5682567625210203,0.5026091834480276,Verde
2020-03-02,0.0,0.0,14.828250315081636,24.10915676386867,0.5403092554930983,0.5039184675248646,Verde
2020-03-05,0.0,0.0,0.0,8.60526496207521,0.5679103031583216,0.5060033811349064,Verde
2020-03-07,8.043909158649752,8.043909158649752,8.043909158649752,8.043909158649752,0.3623320433771473,0.5588254403908133,Verde
2020-03-08,9.616571875179515,9.616571875179515,17.660481033829267,17.660481033829267,0.5682567625210203,0.49018386734285563,Verde
2020-03-10,0.0,0.0,0.0,9.616571875179515,0.3703808198715079,0.4994997030188297,Verde
2020-03-13,3.3638258407183015,3.3638258407183015,3.3638258407183015,3.3638258407183015,0.5568902705246483,0.43365654192322517,Verde
2020-03-15,0.2585454649734172,0.2585454649734172,0.2585454649734172,3.622371305691719,0.42401544527804597,0.4985092843057255,Verde
2020-03-16,0.0,0.0,0.2585454649734172,0.2585454649734172,0.5684171525770397,0.45042884522473403,Verde
2020-03-18,0.0,0.0,0.0,0.0,0.420870703612936,0.516440956126578,Verde
2020-03-21,0.0,0.0,0.0,10.322472034919395,0.4959246013527629,0.47110110048934056,Verde
2020-03-23,0.0,0.0,0.0,0.0,0.4131717621081176,0.49507081918091284,Verde
2020-03-24,1.8331623451382508,1.8331623451382508,1.8331623451382508,1.8331623451382508,0.5684171525770397,0.4433223556912722,Verde
2020-03-26,0.0,0.0,0.0,1.8331623451382508,0.40532262794587803,0.4925045053459734,Verde
2020-03-29,9.015748607736315,9.015748607736315,14.74578510058404,14.74578510058404,0.5424908000504833,0.4623038475436784,Verde
2020-03-31,9.502415987943241,9.502415987943241,18.18220482701841,27.197953434754723,0.37765051638600466,0.505410193524467,Verde
2020-04-01,0.0,0.0,9.502415987943243,18.18220482701841,0.49023063456875154,0.44182131479412207,Verde
2020-04-03,0.0,0.0,8.506818338834824,8.506818338834824,0.3527019172050487,0.4701239836684132,Verde
2020-04-06,0.0,0.0,0.0,0.0,0.4085710031547765,0.40686102271993496,Verde
2020-04-08,0.0,0.0,0.0,0.0,0.3853109333109348,0.4171678516428589,Verde
2020-04-09,4.07197946660659,4.07197946660659,4.071979466606591,4.071979466606591,0.5602895733953892,0.38219461789025333,Verde
2020-04-11,0.49628150757824574,0.49628150757824574,0.5307787881381287,4.602758254744718,0.5412694824502823,0.4513905032870335,Verde
2020-04-14,21.21186854873878,21.21186854873878,44.11566039587022,44.11566039587022,0.5020422787330616,0.4956233297188688,Verde
2020-04-16,0.0,0.0,0.0,21.21186854873878,0.24023854938046682,0.534533778192911,Verde
2020-04-17,0.0,0.0,0.0,0.0,0.5679103031583216,0.42785010352127023,Verde
2020-04-19,0.0,0.0,0.0,0.0,0.3449436361077188,0.43673037709061663,Verde
2020-04-22,0.0,0.0,0.0,0.0,0.4742068143069059,0.38436416288216907,Verde
2020-04-24,0.0,0.0,0.0,0.0,0.29631007907668605,0.4623535845243154,Verde
2020-04-25,0.0,0.0,0.0,0.0,0.5399831592522818,0.3718201764971036,Verde
2020-04-27,45.974068343283676,45.974068343283676,45.974068343283676,45.974068343283676,0.26208274083191085,0.4368333508786246,Verde
2020-04-30,9.077846317340043,9.077846317340043,11.648828706473038,11.648828706473038,0.5189629145737351,0.36612532638695955,Verde
2020-05-03,0.0,0.0,0.0,14.803282101136034,0.5679103031583216,0.4403429382193093,Verde
